tieu_de,gia_raw,dientich_raw,vitri_raw,link,listing_id
"Cho Thuê căn hộ SUNSHINE SKY CITY (4PN+1, 3WC) DT 132m2 Full nội thất giá 24tr/tháng",24 triệu/tháng,132 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/c-4pn-1-3wc-dt-132m2-full-noi-that-gia-24tr-thang-pr43917077,43917077
"Độc quyền căn Penhouse Star Hill đẹp nhất Phú Mỹ Hưng Q.7 giá tốt, đầy đủ nội thất. LH0936 032 ***",101 triệu/tháng,300 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-star-hill/doc-quyen-penhouse-dep-nhat-my-hung-quan-7-bao-gia-tot-day-du-noi-that-lh-pr41851547,41851547
Hệ thống cho thuê studio 1PN full NT new 100% hỗ trợ tìm phòng miễn phí gần Lotte HimLam ĐH RMIT Q7,"5,5 triệu/tháng",35 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-d1-phuong-tan-hung-14-prj-him-lam-riverside/he-tng-c-studio-1-2pn-full-nt-new-100-tro-tim-png-mien-phi-gan-lotte-himlam-rmit-q7-pr39981691,39981691
CHO THUÊ CĂN HỘ DOCKLANDS QUẬN 7,16 triệu/tháng,96 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-thi-thap-phuong-tan-phu-19-prj-docklands-sai-gon/c-quan-7-pr43989343,43989343
"Cho thuê căn hộ chung cư Sunrise City, 22 triệu VND, 120m2, 2PN, 2WC",22 triệu/tháng,120 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/c-22-trieu-vnd-120m2-2pn-2wc-pr43997608,43997608
"CHUYÊN CHO THUÊ VÀ BÁN LAVIDA PLUS,Q.7",8 triệu/tháng,37 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/chuyen-cho-va-ban-q-7-pr43529247,43529247
"Cho thuê căn hộ An Gia Reverside Quận 7, dt: 69m2 ,2pn-2wc full nội thất View sông Sài Gòn mát mẻ",11 triệu/tháng,69 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-an-gia-riverside/c-reverside-qu-7-dt-69m2-2pn-2wc-full-noi-that-view-song-sai-gon-mat-me-pr43713947,43713947
"Căn hộ 69m2 An Gia Riverside, nhà mới 2 phòng ngủ như hìnhfull nội thất, view sông, giá 12.5 triệu.","12,5 triệu/tháng",69 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-an-gia-riverside/-69m2-nha-moi-2-png-ngu-nhu-hinhfull-noi-that-view-song-12-5-trieu-pr43992814,43992814
"Quản lý nhiều căn hộ cho thuê giá rẻ, Sunrisecity, 1 2 3 4PN, đầy đủ nội thất, dọn vào ở ngay",17 triệu/tháng,70 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/quan-ly-nhieu-c-gia-re-sunrisecity-1-2-3-4pn-day-du-noi-that-don-vao-o-ngay-pr42240881,42240881
"Chuyên giỏ hàng cho thuê SUNRISE CITY VIEW QUẬN 7 vào ở ngay studio,1pn,2pn,3pn,4pn.",12 triệu/tháng,40 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/chuyen-gio-hang-cho-quan-7-vao-o-ngay-studio-1pn-2pn-3pn-4pn-pr42868568,42868568
Tổng hợp Sky Garden 3 cho thuê chỉ 14tr sở hữu ngay căn hộ 3PN. Em có nhận tìm căn hộ theo nhu cầu,14 triệu/tháng,89 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-3/tong-p-skygarden-123-c-chi-13tr-so-huu-ngay-3pn-em-co-nhan-tim-theo-nhu-cau-pr41034668,41034668
"Cho thuê căn hộ Riverside Residence, tầng cao thoáng mát. Diện tích: 84 m². Giá thuê: 19tr/tháng.",19 triệu/tháng,84 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-riverside-residence/c-tang-cao-tang-mat-dien-tich-84-m-gia-19tr-thang-pr43989294,43989294
